fpr,tpr
0.0,0.0
0.006024096385542169,0.0
0.012048192771084338,0.0
0.012048192771084338,0.02702702702702703
0.03614457831325301,0.02702702702702703
0.03614457831325301,0.05405405405405406
0.05421686746987952,0.05405405405405406
0.05421686746987952,0.08108108108108109
0.07228915662650602,0.08108108108108109
0.07228915662650602,0.13513513513513514
0.0783132530120482,0.13513513513513514
0.0783132530120482,0.16216216216216217
0.09036144578313253,0.16216216216216217
0.09036144578313253,0.1891891891891892
0.10240963855421686,0.1891891891891892
0.10240963855421686,0.21621621621621623
0.12650602409638553,0.21621621621621623
0.12650602409638553,0.24324324324324326
0.13253012048192772,0.24324324324324326
0.13253012048192772,0.3783783783783784
0.16265060240963855,0.3783783783783784
0.16265060240963855,0.40540540540540543
0.18674698795180722,0.40540540540540543
0.18674698795180722,0.43243243243243246
0.20481927710843373,0.43243243243243246
0.20481927710843373,0.4594594594594595
0.23493975903614459,0.4594594594594595
0.23493975903614459,0.4864864864864865
0.25301204819277107,0.4864864864864865
0.25301204819277107,0.5135135135135135
0.3493975903614458,0.5135135135135135
0.3493975903614458,0.5405405405405406
0.3795180722891566,0.5405405405405406
0.3795180722891566,0.5675675675675675
0.39759036144578314,0.5675675675675675
0.40963855421686746,0.6216216216216216
0.42771084337349397,0.6216216216216216
0.42771084337349397,0.6486486486486487
0.4457831325301205,0.6486486486486487
0.4578313253012048,0.6486486486486487
0.463855421686747,0.6486486486486487
0.463855421686747,0.6756756756756757
0.4819277108433735,0.6756756756756757
0.4819277108433735,0.7027027027027027
0.4879518072289157,0.7027027027027027
0.4879518072289157,0.7297297297297297
0.5060240963855421,0.7297297297297297
0.5060240963855421,0.7567567567567568
0.5662650602409639,0.7567567567567568
0.5783132530120482,0.7567567567567568
0.6265060240963856,0.7567567567567568
0.6506024096385542,0.7567567567567568
0.6746987951807228,0.7837837837837838
0.6746987951807228,0.8108108108108109
0.6867469879518072,0.8108108108108109
0.6867469879518072,0.8378378378378378
0.7469879518072289,0.8378378378378378
0.7590361445783133,0.8648648648648649
0.8012048192771084,0.8648648648648649
0.8012048192771084,0.8918918918918919
0.8975903614457831,0.8918918918918919
0.8975903614457831,0.918918918918919
0.9036144578313253,0.918918918918919
0.9036144578313253,0.9459459459459459
0.9457831325301205,0.9459459459459459
0.9457831325301205,0.972972972972973
0.9879518072289156,0.972972972972973
0.9879518072289156,1.0
1.0,1.0
