modelo,accuracy,precision,recall,f1_score
Regresión logística,0.6305418719211823,0.27906976744186046,0.6486486486486487,0.3902439024390244
Arbol de decisión,0.8226600985221675,0.6666666666666666,0.05405405405405406,0.1
SVM,0.458128078817734,0.17094017094017094,0.6060606060606061,0.26666666666666666
Random forest,0.7980295566502463,0.4166666666666667,0.2702702702702703,0.32786885245901637
